CustomerID,Name,Gender,Age,City,MonthlyIncome,SignupDate,LastPurchaseDate,ProductsPurchased,SpendingScore,PreferredChannel,CustomerSatisfaction,Churn
1,Patrick Sanchez,Female,25,Abuja,63112,09/02/2026,26/11/2027,8,95,Online,4.2,0
2,Megan Mcclain,Male,45,Abuja,66663,25/12/2023,21/08/2025,8,4,Mobile App,3.8,0
3,Amanda Davis,Female,59,Abuja,417696,05/10/2023,08/10/2025,15,70,Mobile App,2.8,0
4,Alyssa Gonzalez,Female,28,Port Harcourt,416026,18/05/2024,05/07/2026,5,55,Online,4.9,1
5,Jennifer Cole,Female,23,Port Harcourt,249191,25/02/2026,10/06/2026,20,13,Store,4.4,1
6,Abigail Shaffer,Female,25,Kano,248461,28/07/2024,29/01/2026,12,11,Mobile App,2.6,0
7,Donald Lewis,Female,60,Lagos,169484,11/05/2026,27/06/2026,8,99,Online,3.1,1
8,James Howard,Female,41,Abuja,135277,26/10/2024,08/08/2026,22,48,Store,4.1,0
9,Renee Blair,Male,58,Abuja,139725,07/11/2024,24/07/2026,15,69,Store,2.8,0
10,Thomas Miller,Male,38,Abuja,491897,02/09/2025,05/08/2027,2,99,Store,3.2,0
11,Lisa Hensley,Male,54,Ibadan,426393,20/08/2024,25/03/2025,13,41,Mobile App,3.4,1
12,Benjamin Stanley,Female,33,Kano,440588,04/11/2025,27/03/2026,14,72,Mobile App,3.2,0
13,Dr. Sharon James,Male,50,Lagos,308744,14/08/2024,03/01/2025,5,12,Mobile App,2.5,1
14,Holly Wood,Female,22,Kano,251728,26/04/2025,28/12/2026,9,49,Mobile App,4.6,0
15,Mia Sutton,Female,25,Port Harcourt,407412,12/04/2024,10/03/2026,4,69,Store,3.3,1
16,Carolyn Daniel,Male,34,Kano,312451,10/09/2023,14/09/2023,4,98,Mobile App,2.9,0
17,Devin Schaefer,Male,41,Kano,449775,31/01/2024,06/07/2024,11,21,Store,2.1,1
18,Melinda Cameron,Male,37,Kano,175541,26/04/2026,12/10/2028,3,8,Online,4.2,0
19,Andrew Stewart,Male,52,Ibadan,451517,17/08/2023,04/10/2025,18,17,Online,2.8,1
20,Thomas Bradley,Male,52,Port Harcourt,445976,11/07/2024,13/02/2025,13,94,Mobile App,3.9,1
21,Jonathan Wilkerson,Male,46,Lagos,113441,22/09/2024,06/03/2026,11,32,Online,3.8,0
22,Derek Wright,Male,32,Abuja,53770,14/02/2026,10/10/2027,3,10,Online,4.6,0
23,Nicole Patterson,Female,33,Abuja,196002,11/10/2025,22/03/2027,18,86,Online,4.2,1
24,Daniel Bright,Male,48,Lagos,473360,14/11/2025,21/07/2026,4,53,Mobile App,3.3,1
25,Peter Callahan Jr.,Male,47,Lagos,432245,22/07/2025,16/09/2026,13,7,Mobile App,3,0
